,0
2013,0.08
2014,0.04
2015,0.12
2016,0.08
2017,0.04
2018,0.12
2019,0.04
2020,0.12
2021,0.08
2022,0.2
2023,0.16
2024,0.16
2025,0.12
2026,0.2
2027,0.4
2028,10.04
2029,0.52
2030,0.08
2031,0.04
2032,0.04
2033,0.16
2034,2.68
2035,4.6
2036,3.64
2037,0.04
2038,4.12
2039,0.04
2040,0.04
2041,6.6
2042,0.28
2043,0.04
2044,0.04
2045,0.04
2046,3.32
2047,8.52
2048,0.12
2049,0.04
2050,0.04
2051,0.04
2052,9.76
2053,0.08
2054,0.08
2055,0.04
2056,9.64
2057,0.08
2058,4.52
2059,0.08
2060,0.04
2061,0.04
2062,16.16
2063,0.28
2064,0.04
2065,0.04
2066,0.04
2067,0.08
2068,0.08
2069,0.04
2070,0.04
2071,0.08
2072,0.08
2073,0.04
2074,0.2
2075,0.12
2076,0.04
2077,0.44
2078,1.04
2079,0.32
2080,0.36
2081,0.08
2082,0.48
2083,0.24
2084,0.4
2085,0.2
2086,0.08
2087,0.04
2088,0.04
2089,0.24
2090,0.12
2091,0.04
2092,0.04
2093,0.04
2094,8.44
2095,0.08
2096,9.32
2097,0.04
2098,0.04
2099,0.04
2100,0.76
2101,0.08
2102,1.36
2103,2.6
2104,0.04
2105,0.04
2106,0.16
2107,0.92
2108,0.04
2109,0.04
2110,0.08
2111,0.04
2112,0.04
2113,4.12
2114,3.04
2115,0.04
2116,7.24
2117,0.08
2118,0.04
2119,0.04
2120,0.04
2121,8.08
2122,4.68
2123,6.36
2124,0.16
2125,2.8
2126,0.08
2127,5.96
2128,0.04
2129,0.04
2130,0.04
2131,0.04
2132,0.04
2133,0.04
2134,4.08
2135,0.04
2136,0.64
2137,0.12
2138,0.28
2139,0.08
2140,3.28
