,t,fronters_count,fit
26385,1057.36,2.6666666666666665,1.8581586254476743
26386,1057.4,2.6666666666666665,1.8581586254476743
26387,1057.44,2.6666666666666665,1.8581586254476743
26388,1057.48,2.6666666666666665,1.8581586254476743
26389,1057.52,2.6666666666666665,1.8581586254476743
26390,1057.56,2.6666666666666665,1.8581586254476743
26391,1057.6,2.6666666666666665,1.8581586254476743
26392,1057.64,2.6666666666666665,1.8581586254476743
26393,1057.68,2.6666666666666665,1.8581586254476743
26394,1057.72,2.6666666666666665,1.8581586254476743
26395,1057.76,2.6666666666666665,1.8581586254476743
26396,1057.8,2.6666666666666665,1.8581586254476743
26397,1057.84,2.6666666666666665,1.8581586254476743
26398,1057.88,2.6666666666666665,1.8581586254476743
26399,1057.92,2.6666666666666665,1.8581586254476743
26400,1057.96,2.6666666666666665,1.8581586254476743
26401,1058.0,2.6666666666666665,1.8581586254476743
26402,1058.04,2.6666666666666665,1.8581586254476743
26403,1058.08,2.6666666666666665,1.8581586254476743
26404,1058.12,2.6666666666666665,1.8581586254476743
26405,1058.16,2.6666666666666665,1.8581586254476743
26406,1058.2,2.6666666666666665,1.8581586254476743
26407,1058.24,2.6666666666666665,1.8581586254476743
26408,1058.28,2.6666666666666665,1.8581586254476743
26409,1058.32,2.6666666666666665,1.8581586254476743
26410,1058.36,2.6666666666666665,1.8581586254476743
26411,1058.4,2.6666666666666665,1.8581586254476743
26412,1058.44,2.6666666666666665,1.8581586254476743
26413,1058.48,2.6666666666666665,1.8581586254476743
26414,1058.52,2.6666666666666665,1.8581586254476743
26415,1058.56,2.6666666666666665,1.8581586254476743
26416,1058.6,2.6666666666666665,1.8581586254476743
26417,1058.64,2.6666666666666665,1.8581586254476743
26418,1058.68,2.6666666666666665,1.8581586254476743
26419,1058.72,2.6666666666666665,1.8581586254476743
26420,1058.76,2.6666666666666665,1.8581586254476743
26421,1058.8,2.6666666666666665,1.8581586254476743
26422,1058.84,2.6666666666666665,1.8581586254476743
26423,1058.88,2.6666666666666665,1.8581586254476743
26424,1058.92,2.6666666666666665,1.8581586254476743
26425,1058.96,2.6666666666666665,1.8581586254476743
26426,1059.0,2.6666666666666665,1.8581586254476743
26427,1059.04,2.6666666666666665,1.8581586254476743
26428,1059.08,2.6666666666666665,1.8581586254476743
26429,1059.12,2.6666666666666665,1.8581586254476743
26430,1059.16,2.6666666666666665,1.8581586254476743
26431,1059.2,2.6666666666666665,1.8581586254476743
26432,1059.24,2.6666666666666665,1.8581586254476743
26433,1059.28,2.6666666666666665,1.8581586254476743
26434,1059.32,2.6666666666666665,1.8581586254476743
26435,1059.36,2.6666666666666665,1.8581586254476743
26436,1059.4,2.6666666666666665,1.8581586254476743
26437,1059.44,2.6666666666666665,1.8581586254476743
26438,1059.48,2.6666666666666665,1.8581586254476743
26439,1059.52,2.6666666666666665,1.8581586254476743
26440,1059.56,2.6666666666666665,1.8581586254476743
26441,1059.6,2.6666666666666665,1.8581586254476743
26442,1059.64,2.6666666666666665,1.8581586254476743
26443,1059.68,2.6666666666666665,1.8581586254476743
26444,1059.72,2.6666666666666665,1.8581586254476743
26445,1059.76,2.6666666666666665,1.8581586254476743
26446,1059.8,2.6666666666666665,1.8581586254476743
26447,1059.84,2.6666666666666665,1.8581586254476743
26448,1059.88,2.6666666666666665,1.8581586254476743
26449,1059.92,2.6666666666666665,1.8581586254476743
26450,1059.96,2.6666666666666665,1.8581586254476743
26451,1060.0,2.6666666666666665,1.8581586254476743
26452,1060.04,2.6666666666666665,1.8581586254476743
26453,1060.08,2.6666666666666665,1.8581586254476743
26454,1060.12,2.6666666666666665,1.8581586254476743
26455,1060.16,2.6666666666666665,1.8581586254476743
26456,1060.2,2.6666666666666665,1.8581586254476743
26457,1060.24,2.6666666666666665,1.8581586254476743
26458,1060.28,2.6666666666666665,1.8581586254476743
26459,1060.32,2.6666666666666665,1.8581586254476743
26460,1060.36,2.6666666666666665,1.8581586254476743
26461,1060.4,2.6666666666666665,1.8581586254476743
26462,1060.44,2.6666666666666665,1.8581586254476743
26463,1060.48,2.6733333333333333,1.8581586254476743
26464,1060.52,2.6733333333333333,1.8581586254476743
26465,1060.56,2.6733333333333333,1.8581586254476743
26466,1060.6,2.6733333333333333,1.8581586254476743
26467,1060.64,2.68,1.8581586254476743
26468,1060.68,2.686666666666667,1.8581586254476743
26469,1060.72,2.6933333333333334,1.8581586254476743
26470,1060.76,2.7,1.8581586254476743
26471,1060.8,2.706666666666667,1.8581586254476743
26472,1060.84,2.713333333333333,1.8581586254476743
26473,1060.88,2.72,1.8581586254476743
26474,1060.92,2.726666666666667,1.8581586254476743
26475,1060.96,2.733333333333333,1.8581586254476743
26476,1061.0,2.74,1.8581586254476743
26477,1061.04,2.746666666666667,1.8581586254476743
26478,1061.08,2.753333333333333,1.8581586254476743
26479,1061.12,2.76,1.8581586254476743
26480,1061.16,2.766666666666667,1.8581586254476743
26481,1061.2,2.773333333333333,1.8581586254476743
26482,1061.24,2.78,1.8581586254476743
26483,1061.28,2.786666666666667,1.8581586254476743
26484,1061.32,2.793333333333333,1.8581586254476743
26485,1061.36,2.8,1.8581586254476743
26486,1061.4,2.8066666666666666,1.8581586254476743
26487,1061.44,2.813333333333334,1.8581586254476743
26488,1061.48,2.82,1.8581586254476743
26489,1061.52,2.8266666666666667,1.8581586254476743
26490,1061.56,2.833333333333334,1.8581586254476743
26491,1061.6,2.84,1.8581586254476743
26492,1061.64,2.8466666666666667,1.8581586254476743
26493,1061.68,2.8533333333333335,1.8581586254476743
26494,1061.72,2.86,1.8581586254476743
26495,1061.76,2.8666666666666667,1.8581586254476743
26496,1061.8,2.8666666666666667,1.8581586254476743
26497,1061.84,2.8666666666666663,1.8581586254476743
26498,1061.88,2.8666666666666667,1.8581586254476743
26499,1061.92,2.8666666666666667,1.8581586254476743
26500,1061.96,2.8666666666666663,1.8581586254476743
26501,1062.0,2.8666666666666667,1.8581586254476743
26502,1062.04,2.8666666666666667,1.8581586254476743
26503,1062.08,2.8666666666666663,1.8581586254476743
26504,1062.12,2.8666666666666667,1.8581586254476743
26505,1062.16,2.8666666666666667,1.8581586254476743
26506,1062.2,2.8666666666666663,1.8581586254476743
26507,1062.24,2.8666666666666667,1.8581586254476743
26508,1062.28,2.8666666666666667,1.8581586254476743
26509,1062.32,2.8666666666666663,1.8581586254476743
26510,1062.36,2.8666666666666667,1.8581586254476743
26511,1062.4,2.8666666666666667,1.8581586254476743
26512,1062.44,2.8666666666666663,1.8581586254476743
26513,1062.48,2.86,1.8581586254476743
26514,1062.52,2.86,1.8581586254476743
26515,1062.56,2.86,1.8581586254476743
26516,1062.6,2.86,1.8581586254476743
26517,1062.64,2.853333333333333,1.8581586254476743
26518,1062.68,2.8466666666666662,1.8581586254476743
26519,1062.72,2.84,1.8581586254476743
26520,1062.76,2.833333333333333,1.8581586254476743
26521,1062.8,2.826666666666666,1.8581586254476743
26522,1062.84,2.82,1.8581586254476743
26523,1062.88,2.813333333333333,1.8581586254476743
26524,1062.92,2.806666666666666,1.8581586254476743
26525,1062.96,2.8,1.8581586254476743
26526,1063.0,2.793333333333333,1.8581586254476743
26527,1063.04,2.786666666666666,1.8581586254476743
26528,1063.08,2.78,1.8581586254476743
26529,1063.12,2.773333333333333,1.8581586254476743
26530,1063.16,2.766666666666666,1.8581586254476743
26531,1063.2,2.76,1.8581586254476743
26532,1063.24,2.753333333333333,1.8581586254476743
26533,1063.28,2.746666666666666,1.8581586254476743
26534,1063.32,2.7399999999999993,1.8581586254476743
26535,1063.36,2.733333333333333,1.8581586254476743
26536,1063.4,2.726666666666666,1.8581586254476743
26537,1063.44,2.7199999999999993,1.8581586254476743
26538,1063.48,2.713333333333333,1.8581586254476743
26539,1063.52,2.706666666666666,1.8581586254476743
26540,1063.56,2.6999999999999993,1.8581586254476743
26541,1063.6,2.6933333333333334,1.8581586254476743
26542,1063.64,2.686666666666666,1.8581586254476743
26543,1063.68,2.6799999999999993,1.8581586254476743
26544,1063.72,2.6733333333333333,1.8581586254476743
26545,1063.76,2.6666666666666665,1.8581586254476743
26546,1063.8,2.6666666666666665,1.8581586254476743
26547,1063.84,2.6666666666666665,1.8581586254476743
26548,1063.88,2.6666666666666665,1.8581586254476743
26549,1063.92,2.6666666666666665,1.8581586254476743
26550,1063.96,2.6666666666666665,1.8581586254476743
26551,1064.0,2.6666666666666665,1.8581586254476743
26552,1064.04,2.6666666666666665,1.8581586254476743
26553,1064.08,2.6666666666666665,1.8581586254476743
26554,1064.12,2.6666666666666665,1.8581586254476743
26555,1064.16,2.6666666666666665,1.8581586254476743
26556,1064.2,2.6666666666666665,1.8581586254476743
26557,1064.24,2.6666666666666665,1.8581586254476743
26558,1064.28,2.6666666666666665,1.8581586254476743
26559,1064.32,2.6666666666666665,1.8581586254476743
26560,1064.36,2.6666666666666665,1.8581586254476743
26561,1064.4,2.6666666666666665,1.8581586254476743
26562,1064.44,2.6666666666666665,1.8581586254476743
26563,1064.48,2.6666666666666665,1.8581586254476743
26564,1064.52,2.6666666666666665,1.8581586254476743
26565,1064.56,2.6666666666666665,1.8581586254476743
26566,1064.6,2.6666666666666665,1.8581586254476743
26567,1064.64,2.6666666666666665,1.8581586254476743
26568,1064.68,2.6666666666666665,1.8581586254476743
26569,1064.72,2.6666666666666665,1.8581586254476743
26570,1064.76,2.6666666666666665,1.8581586254476743
26571,1064.8,2.6666666666666665,1.8581586254476743
26572,1064.84,2.6666666666666665,1.8581586254476743
26573,1064.88,2.6666666666666665,1.8581586254476743
26574,1064.92,2.6666666666666665,1.8581586254476743
26575,1064.96,2.6666666666666665,1.8581586254476743
26576,1065.0,2.6666666666666665,1.8581586254476743
26577,1065.04,2.6733333333333333,1.8581586254476743
26578,1065.08,2.6733333333333333,1.8581586254476743
26579,1065.12,2.68,1.8581586254476743
26580,1065.16,2.686666666666667,1.8581586254476743
26581,1065.2,2.686666666666667,1.8581586254476743
26582,1065.24,2.6933333333333334,1.8581586254476743
26583,1065.28,2.7,1.8581586254476743
26584,1065.32,2.706666666666667,1.8581586254476743
26585,1065.36,2.713333333333333,1.8581586254476743
26586,1065.4,2.72,1.8581586254476743
26587,1065.44,2.726666666666667,1.8581586254476743
26588,1065.48,2.733333333333333,1.8581586254476743
26589,1065.52,2.74,1.8581586254476743
26590,1065.56,2.746666666666667,1.8581586254476743
26591,1065.6,2.753333333333333,1.8581586254476743
26592,1065.64,2.76,1.8581586254476743
26593,1065.68,2.766666666666667,1.8581586254476743
26594,1065.72,2.773333333333333,1.8581586254476743
26595,1065.76,2.78,1.8581586254476743
26596,1065.8,2.786666666666667,1.8581586254476743
26597,1065.84,2.793333333333333,1.8581586254476743
