No.,date,operator,bottype,No.,angle,angle_err,stars,bots,folder,path,BotLocatingFile,BatteryLocatingFile,start_min,end_min,starting_point,p0_1,p0_2
51,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:11,0:13,up,,
52,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:16,0:20,up,,
53,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:25,0:27,up,,
54,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:31,0:33,up,,
55,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:37,0:39,up,,
56,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:42,0:44,up,,
57,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:47,0:50,up,,
58,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:52,0:55,up,,
59,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:58,1:02,up,,
60,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:05,1:08,up,,
61,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:13,1:16,up,,
62,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:19,1:22,up,,
63,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:31,1:32,down,,
64,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:36,1:37,down,,
65,,,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:43,1:46,down,,
