frame,Unnamed: 0,frame,x,y,r,particle
541,433,541,653.5,607.5,30.9,0
542,434,542,652.5,608.5,30.9,0
543,435,543,654.5,610.5,30.8,0
544,436,544,654.5,609.5,30.8,0
545,437,545,653.5,608.5,30.8,0
546,438,546,653.5,610.5,30.8,0
547,439,547,653.5,609.5,30.8,0
548,440,548,652.5,610.5,32.0,0
549,441,549,652.5,611.5,30.9,0
551,443,551,652.5,610.5,30.9,0
553,444,553,654.5,614.5,30.9,0
555,445,555,651.5,613.5,32.0,0
556,446,556,654.5,614.5,30.9,0
557,447,557,619.5,571.5,36.4,0
558,448,558,656.5,615.5,30.8,0
559,449,559,654.5,615.5,30.9,0
561,450,561,654.5,617.5,30.8,0
563,451,563,655.5,616.5,30.8,0
564,452,564,655.5,617.5,30.8,0
565,453,565,656.5,615.5,30.9,0
566,454,566,656.5,618.5,30.9,0
567,455,567,657.5,619.5,30.9,0
568,456,568,655.5,618.5,30.8,0
570,457,570,618.5,572.5,32.0,0
571,458,571,657.5,605.5,31.9,0
572,459,572,657.5,619.5,30.8,0
574,460,574,658.5,623.5,30.8,0
575,461,575,658.5,621.5,30.8,0
576,462,576,658.5,621.5,30.9,0
577,463,577,658.5,624.5,30.9,0
578,464,578,658.5,625.5,30.9,0
581,465,581,657.5,624.5,30.9,0
584,466,584,657.5,628.5,30.9,0
585,467,585,657.5,631.5,30.9,0
590,469,590,658.5,632.5,30.7,0
591,470,591,659.5,632.5,30.8,0
592,471,592,659.5,633.5,30.9,0
593,472,593,660.5,633.5,30.7,0
595,473,595,659.5,632.5,30.9,0
596,474,596,662.5,636.5,30.8,0
597,475,597,659.5,633.5,30.8,0
599,476,599,660.5,635.5,30.9,0
600,477,600,658.5,637.5,32.0,0
601,478,601,665.5,636.5,30.7,0
602,479,602,660.5,639.5,32.0,0
603,480,603,658.5,642.5,32.0,0
604,481,604,660.5,639.5,30.8,0
605,482,605,657.5,640.5,32.9,0
607,483,607,660.5,641.5,30.9,0
608,484,608,665.5,643.5,30.9,0
609,485,609,659.5,645.5,33.1,0
610,486,610,661.5,643.5,30.8,0
611,487,611,661.5,641.5,30.8,0
612,488,612,661.5,643.5,30.8,0
613,489,613,661.5,641.5,31.9,0
616,490,616,659.5,642.5,30.9,0
618,491,618,661.5,645.5,30.8,0
620,492,620,662.5,644.5,30.9,0
621,493,621,660.5,643.5,30.9,0
622,494,622,660.5,645.5,30.9,0
623,495,623,662.5,646.5,30.8,0
624,496,624,662.5,646.5,30.8,0
625,497,625,660.5,644.5,30.8,0
627,498,627,659.5,646.5,30.9,0
628,499,628,660.5,645.5,30.9,0
629,500,629,660.5,646.5,30.8,0
630,501,630,660.5,647.5,30.8,0
631,502,631,660.5,647.5,30.8,0
632,503,632,660.5,648.5,30.9,0
633,504,633,651.5,636.5,34.2,0
635,505,635,659.5,648.5,30.8,0
636,506,636,660.5,648.5,30.8,0
637,507,637,662.5,648.5,31.9,0
638,508,638,660.5,650.5,30.9,0
639,509,639,661.5,649.5,30.8,0
641,510,641,661.5,651.5,30.8,0
642,511,642,660.5,650.5,30.9,0
643,512,643,659.5,649.5,30.9,0
644,513,644,660.5,651.5,30.8,0
645,514,645,659.5,651.5,30.9,0
646,515,646,659.5,651.5,30.9,0
647,516,647,659.5,651.5,30.9,0
648,517,648,659.5,651.5,30.9,0
649,518,649,659.5,652.5,30.9,0
650,519,650,661.5,654.5,30.8,0
652,520,652,660.5,654.5,30.9,0
653,521,653,659.5,655.5,30.8,0
654,522,654,662.5,655.5,30.8,0
655,523,655,660.5,656.5,30.8,0
656,524,656,661.5,656.5,30.8,0
657,525,657,660.5,657.5,30.8,0
658,526,658,660.5,658.5,30.8,0
659,527,659,660.5,658.5,30.9,0
660,528,660,659.5,658.5,30.8,0
661,529,661,658.5,663.5,31.9,0
662,530,662,662.5,660.5,30.9,0
665,531,665,661.5,662.5,30.8,0
667,532,667,660.5,664.5,30.8,0
668,533,668,659.5,667.5,30.8,0
672,534,672,660.5,667.5,30.7,0
673,535,673,660.5,668.5,30.9,0
676,536,676,661.5,670.5,30.8,0
677,537,677,651.5,657.5,36.4,0
678,538,678,662.5,672.5,30.9,0
679,539,679,661.5,673.5,30.9,0
681,540,681,660.5,674.5,30.9,0
682,541,682,661.5,674.5,30.9,0
683,542,683,664.5,675.5,33.1,0
684,543,684,662.5,678.5,30.8,0
685,544,685,660.5,681.5,33.1,0
687,545,687,661.5,678.5,31.5,0
689,546,689,661.5,681.5,30.8,0
690,547,690,660.5,680.5,30.7,0
692,548,692,662.5,683.5,30.5,0
694,549,694,661.5,684.5,30.7,0
695,550,695,662.5,684.5,32.0,0
698,551,698,659.5,687.5,30.8,0
699,552,699,660.5,688.5,30.9,0
700,553,700,660.5,689.5,30.8,0
703,554,703,659.5,691.5,30.9,0
704,555,704,658.5,693.5,32.0,0
710,556,710,659.5,695.5,30.4,0
711,557,711,657.5,694.5,30.7,0
712,558,712,659.5,696.5,30.7,0
714,559,714,660.5,698.5,30.8,0
